file,NOF_num,NOF_max,NOF_total,NSF_num,NSF_max,NSF_total,NOM_num,NOM_max,NOM_total,NSM_num,NSM_max,NSM_total,NOI,NOT,TLOC,pre,post,NOF_avg,NSF_avg,NOM_avg,NSM_avg
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\ToggleSortAntOutlineAction.java,1,1,1,1,0,0,1,1,1,1,0,0,0,1,40,0.0,20.0,1.0,0.0,1.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\XMLCore.java,1,1,1,1,1,1,1,3,3,1,1,1,0,1,57,0.0,0.0,1.0,1.0,3.0,1.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\XMLProblem.java,1,5,5,1,4,4,1,11,11,1,1,1,0,1,150,0.0,0.0,5.0,4.0,11.0,1.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\TaskDescriptionProvider.java,1,1,1,1,12,12,1,14,14,1,1,1,0,1,408,0.0,33.0,1.0,12.0,14.0,1.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\AntContext.java,1,1,1,1,0,0,1,4,4,1,0,0,0,1,83,0.0,32.0,1.0,0.0,4.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\AntSourceViewerInformationControl.java,1,0,0,1,0,0,1,1,1,1,0,0,0,1,57,0.0,0.0,0.0,0.0,1.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\AntTemplateAccess.java,1,2,2,1,2,2,1,4,4,1,1,1,0,1,89,6.0,32.0,2.0,2.0,4.0,1.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\AntTemplateInformationControlCreator.java,1,1,1,1,0,0,1,4,4,1,0,0,0,1,54,7.0,31.0,1.0,0.0,4.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\AntTemplatePreferencePage.java,1,1,1,1,0,0,1,5,5,1,0,0,0,1,107,0.0,1.0,1.0,0.0,5.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\AntTemplateProposal.java,1,0,0,1,0,0,1,1,1,1,0,0,0,1,37,9.0,17.0,0.0,0.0,1.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\AntTemplateVariableTextHover.java,1,0,0,1,0,0,1,2,2,1,0,0,0,1,63,38.0,0.0,0.0,0.0,2.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\AntTemplateViewerConfiguration.java,1,0,0,1,0,0,1,1,1,1,0,0,0,1,26,7.0,0.0,0.0,0.0,1.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\AntVariableResolver.java,1,0,0,1,0,0,1,3,3,1,0,0,0,1,50,0.0,0.0,0.0,0.0,3.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\BuildFileContextType.java,1,0,0,1,1,1,1,1,1,1,0,0,0,1,42,0.0,0.0,0.0,1.0,1.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\TaskContextType.java,1,0,0,1,1,1,1,0,0,1,0,0,0,1,16,38.0,0.0,0.0,1.0,0.0,0.0
