file,NOF_num,NOF_max,NOF_total,NSF_num,NSF_max,NSF_total,NOM_num,NOM_max,NOM_total,NSM_num,NSM_max,NSM_total,NOI,NOT,TLOC,num_of_bug,buggy,NOF_avg,NSF_avg,NOM_avg,NSM_avg
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\Action.java,1,13,13,1,13,13,1,38,38,1,17,17,0,1,1202,1.0,True,13.0,13.0,38.0,17.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\ActionContributionItem.java,1,9,9,1,5,5,1,31,31,1,2,2,0,1,1014,0.0,False,9.0,5.0,31.0,2.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\ContributionItem.java,1,3,3,1,0,0,1,19,19,1,0,0,0,1,211,0.0,False,3.0,0.0,19.0,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\ContributionManager.java,1,4,4,1,0,0,1,36,36,1,0,0,0,1,518,0.0,False,4.0,0.0,36.0,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\ControlContribution.java,1,0,0,1,0,0,1,5,5,1,0,0,0,1,102,0.0,False,0.0,0.0,5.0,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\CoolBarManager.java,1,4,4,1,1,1,1,29,29,1,0,0,0,1,1027,0.0,False,4.0,1.0,29.0,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\ExternalActionManager.java,2,7,13,2,2,3,2,18,27,2,1,1,2,2,521,0.0,False,6.5,1.5,13.5,0.5
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\GroupMarker.java,1,0,0,1,0,0,1,1,1,1,0,0,0,1,43,0.0,False,0.0,0.0,1.0,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\IAction.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,516,0.0,False,,,,
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\IContributionItem.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,192,0.0,False,,,,
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\IContributionManager.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,228,0.0,False,,,,
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\IContributionManagerOverrides.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,66,0.0,False,,,,
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\ICoolBarManager.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,103,0.0,False,,,,
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\IMenuCreator.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54,0.0,False,,,,
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\IMenuListener.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,0.0,False,,,,
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\IMenuManager.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,107,0.0,False,,,,
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\IStatusLineManager.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,107,0.0,False,,,,
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\IToolBarManager.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0.0,False,,,,
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\MenuManager.java,1,9,9,1,0,0,1,46,46,1,0,0,0,1,763,0.0,False,9.0,0.0,46.0,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\Separator.java,1,0,0,1,0,0,1,3,3,1,0,0,0,1,77,0.0,False,0.0,0.0,3.0,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\StatusLine.java,2,17,18,2,3,3,2,29,31,2,0,0,0,2,604,0.0,False,9.0,1.5,15.5,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\StatusLineLayoutData.java,1,2,2,1,0,0,1,0,0,1,0,0,0,1,53,0.0,False,2.0,0.0,0.0,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\StatusLineManager.java,1,2,2,1,3,3,1,24,24,1,0,0,0,1,339,0.0,False,2.0,3.0,24.0,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\SubContributionItem.java,1,2,2,1,0,0,1,18,18,1,0,0,0,1,177,0.0,False,2.0,0.0,18.0,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\SubContributionManager.java,1,3,3,1,0,0,1,30,30,1,0,0,0,1,357,0.0,False,3.0,0.0,30.0,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\SubCoolBarManager.java,1,0,0,1,0,0,1,8,8,1,0,0,0,1,102,0.0,False,0.0,0.0,8.0,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\SubMenuManager.java,1,3,3,1,0,0,1,31,31,1,0,0,0,1,394,0.0,False,3.0,0.0,31.0,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\SubStatusLineManager.java,1,4,4,1,0,0,1,10,10,1,0,0,0,1,150,0.0,False,4.0,0.0,10.0,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\SubToolBarManager.java,1,0,0,1,0,0,1,2,2,1,0,0,0,1,50,0.0,False,0.0,0.0,2.0,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\ToolBarContributionItem.java,1,8,8,1,1,1,1,24,24,1,0,0,0,1,669,0.0,False,8.0,1.0,24.0,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\ToolBarManager.java,1,3,3,1,0,0,1,11,11,1,0,0,0,1,399,1.0,True,3.0,0.0,11.0,0.0
eclipse\org.eclipse.jface\src\org\eclipse\jface\bindings\Binding.java,1,8,8,1,5,5,1,11,11,1,0,0,0,1,400,0.0,False,8.0,5.0,11.0,0.0
