NOT,NOI,TLOC,ACD,NSM,NSF,NOM,NOF,MLOC_total,MLOC_max,NBD_total,NBD_max,PAR_total,PAR_max,VG_total,VG_max,FOUT_total,FOUT_max,file,pre,post,MLOC_avg,NBD_avg,PAR_avg,VG_avg,FOUT_avg
1,0,1374,0,1,4,40,9,1071,151,75,5,28,1,406,51,27,3,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\flow\UnconditionalFlowInfo.java,0.0,0.0,26.775,1.875,0.7,10.15,0.675
1,0,128,0,0,0,18,6,101,22,5,2,17,3,41,11,28,8,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\PackageBinding.java,0.0,0.0,5.611111111111111,0.2777777777777778,0.9444444444444444,2.2777777777777777,1.5555555555555556
1,0,63,0,0,0,9,1,58,34,2,2,8,4,19,11,7,7,eclipse\org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\complete\CompletionOnJavadocSingleTypeReference.java,0.0,0.0,6.444444444444445,0.2222222222222222,0.8888888888888888,2.111111111111111,0.7777777777777778
1,0,225,1,0,0,6,4,209,71,14,5,11,5,54,19,69,20,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CopyPackageFragmentRootOperation.java,0.0,0.0,34.833333333333336,2.3333333333333335,1.8333333333333333,9.0,11.5
0,1,8,0,0,0,4,0,4,1,-4,-1,1,1,4,1,0,0,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\core\IProblemRequestor.java,0.0,0.0,1.0,-1.0,0.25,1.0,0.0
1,0,505,0,0,0,13,2,506,103,40,7,35,6,148,33,127,22,eclipse\org.eclipse.jdt.core\eval\org\eclipse\jdt\internal\eval\CodeSnippetQualifiedNameReference.java,0.0,0.0,38.92307692307692,3.076923076923077,2.6923076923076925,11.384615384615385,9.76923076923077
0,1,5,0,0,0,2,0,2,1,-2,-1,0,0,2,1,0,0,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\core\util\IRuntimeVisibleParameterAnnotationsAttribute.java,0.0,0.0,1.0,-1.0,0.0,1.0,0.0
0,1,5,0,0,0,2,0,2,1,-2,-1,0,0,2,1,0,0,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\core\util\ISourceAttribute.java,0.0,0.0,1.0,-1.0,0.0,1.0,0.0
1,0,125,0,1,5,16,8,93,12,9,2,12,3,29,4,33,11,eclipse\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\SuperConstructorInvocation.java,21.0,0.0,5.8125,0.5625,0.75,1.8125,2.0625
0,1,12,0,0,0,2,7,2,1,-2,-1,1,1,2,1,0,0,eclipse\org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\complete\CompletionOnJavadoc.java,0.0,0.0,1.0,-1.0,0.5,1.0,0.0
